id	主题1	主题2	主题3
11260	21	18	19
11261	3	19	18
11262	3	10	18
11263	3	16	18
11264	21	14	18
1127	12	2	19
1128	4	2	18
1129	11	25	18
11293	16	2	18
11294	15	18	16
11295	12	16	4
11296	16	12	18
11297	24	18	19
11298	18	1	8
11299	3	18	19
113	2	22	18
1130	9	18	19
11300	3	18	19
11301	10	18	13
11302	18	8	19
11303	25	3	19
11304	3	26	18
11305	3	4	11
11306	1	26	18
11307	19	9	23
11308	1	14	18
11309	10	18	8
1131	13	18	19
11311	18	12	19
11312	17	4	18
11313	7	18	19
11314	10	16	18
11315	21	18	19
11316	16	3	18
11317	8	1	18
11318	18	1	26
11319	13	5	18
1132	21	8	6
11320	24	19	18
11321	18	3	9
11322	18	13	19
11324	10	18	19
11325	4	18	8
11326	21	24	11
11327	21	6	18
11328	6	24	10
11329	25	19	26
1133	18	25	13
11330	3	18	19
11331	3	4	18
11332	8	26	18
11333	26	19	18
11334	18	1	19
11335	13	18	19
11336	7	18	19
11337	7	25	19
11338	7	18	13
11339	25	19	7
1134	15	9	18
11341	3	18	19
11342	18	19	1
11343	9	18	19
11344	16	18	19
11345	8	12	2
11346	20	25	9
11347	24	1	15
11348	18	11	19
11349	21	3	4
1135	22	11	19
11350	5	19	18
11351	17	5	6
11352	13	4	18
11354	21	18	14
11355	21	18	19
11356	24	18	19
11357	3	18	19
11358	5	18	19
11359	18	6	19
1136	11	2	24
11361	18	24	16
11362	3	5	18
11363	25	3	11
11364	19	6	8
11366	3	11	18
11367	19	18	1
11368	17	18	19
11369	15	18	19
1137	22	17	1
11370	3	18	19
11371	19	4	18
11372	21	19	18
11373	3	18	19
11374	7	13	6
11375	7	17	18
11376	3	18	19
11377	4	2	12
11378	6	20	18
11379	5	3	18
1138	7	19	6
11380	3	18	19
11381	3	18	6
11382	19	15	18
11383	18	19	1
11384	17	19	24
11385	3	18	19
11386	3	18	19
11387	7	1	18
11388	7	6	3
11389	7	1	18
1139	20	18	19
11390	1	18	19
11391	18	7	19
11392	16	18	19
11394	18	4	10
11395	17	18	19
11396	17	18	19
11397	5	3	18
11398	7	20	18
11399	3	21	18
114	8	18	19
1140	16	1	7
11400	16	9	18
11401	12	18	3
11402	18	24	19
11403	3	5	18
11404	3	18	19
11405	12	18	19
11406	25	18	19
11407	3	16	18
11408	12	18	19
11409	11	18	19
1141	21	15	18
11410	10	3	18
11411	19	12	3
11412	3	18	19
11413	18	5	10
11414	3	18	13
11415	17	19	22
11416	17	18	19
11417	17	18	19
11418	21	11	18
11419	13	18	19
1142	7	18	19
11421	3	18	19
11422	18	19	1
11423	7	21	10
11424	4	3	5
11425	4	18	19
11426	19	1	9
11427	8	18	19
11429	15	18	7
1143	19	17	18
11430	3	4	24
11431	4	19	18
11432	17	18	19
11433	19	13	18
11434	3	26	18
11435	18	6	19
11436	5	18	13
11437	3	18	19
11439	4	18	7
1144	2	18	19
11440	5	20	18
11441	3	6	18
11442	4	13	18
11443	19	21	18
11444	12	18	19
11445	18	10	19
11446	20	1	21
11448	5	21	18
11449	1	18	19
1145	25	12	11
11450	23	10	12
11451	10	15	12
11452	15	17	18
11453	19	15	18
11454	17	19	22
11455	7	11	18
11456	7	10	8
11457	13	18	19
11458	19	17	18
11459	4	3	18
1146	23	22	18
11460	7	18	19
11461	3	18	19
11462	1	2	15
11464	4	17	26
11465	6	4	15
11466	13	2	18
11468	3	1	18
11469	15	18	19
1147	19	17	4
11470	15	18	19
11471	18	11	19
11472	13	18	6
11473	17	18	19
11475	6	8	18
11476	4	19	24
11477	17	18	19
11478	13	18	19
11479	19	18	1
1148	26	18	19
11480	17	19	18
11481	6	21	18
11482	15	18	19
11483	17	16	18
11484	24	22	18
11485	19	17	18
11486	3	10	18
11487	18	19	1
11488	3	24	7
11489	16	18	19
1149	12	11	10
11490	4	25	19
11491	15	19	18
11492	3	18	25
11493	17	24	18
11494	3	18	19
11495	18	19	1
11497	23	19	15
11498	19	15	18
11499	15	10	18
115	18	10	8
1150	26	11	18
11500	13	18	11
11501	18	21	19
11502	3	18	19
11503	13	18	19
11505	3	12	18
11506	3	18	19
11507	9	21	1
11508	20	18	19
11509	5	18	1
1151	24	11	18
11510	10	18	4
11511	19	18	1
11512	22	23	15
11513	4	15	18
11514	18	7	15
11515	10	7	18
11516	17	18	20
11517	10	18	19
11518	23	18	19
11519	17	22	18
1152	8	9	18
11520	13	16	18
11521	4	3	13
11522	25	3	18
11523	12	3	5
11524	17	19	18
11525	24	18	19
11526	18	13	19
11527	10	18	19
11528	21	7	20
11529	3	18	19
1153	17	19	9
11530	3	18	6
11531	18	24	14
11532	19	8	18
11533	19	7	18
11534	19	18	1
11535	3	18	7
11536	4	18	7
11537	3	6	11
11538	18	19	20
11539	3	18	19
1154	3	18	7
11540	3	18	26
11541	3	18	19
11542	11	17	18
11543	3	18	19
11544	18	19	1
11546	3	20	22
11547	3	18	13
11548	3	6	1
11549	18	19	1
1155	21	2	8
11550	3	18	19
11551	25	21	18
11552	9	18	11
11553	18	19	1
11554	13	18	19
11555	3	4	18
11557	3	24	18
11558	7	18	8
11559	9	5	23
1156	16	6	8
11560	5	4	18
11561	5	19	3
11562	18	21	19
11563	19	18	1
11564	19	18	1
11565	18	8	5
11566	18	19	1
11567	25	8	18
11568	20	25	18
11569	25	18	19
1157	15	19	1
11570	25	18	19
11571	4	10	18
11572	6	18	19
11573	3	18	19
11574	7	18	10
11575	25	20	18
11576	18	20	21
11577	18	19	1
11578	15	2	18
11579	4	11	17
1158	1	19	7
11580	4	18	19
11581	4	18	19
11582	3	10	18
11583	3	5	7
11584	16	4	18
11585	18	1	19
11586	7	24	18
11587	18	8	1
11588	21	18	19
11589	24	22	18
1159	9	18	19
11590	24	3	18
11591	17	9	18
11592	17	18	19
11593	18	4	7
11594	17	18	19
11595	10	7	18
11596	3	12	18
11597	1	21	13
11598	1	21	13
11599	18	5	3
116	21	6	19
1160	23	2	18
11600	1	17	18
11601	18	21	23
11602	24	12	18
11603	1	12	18
11604	1	12	18
11605	5	3	18
11606	18	19	1
11607	13	10	18
11608	13	18	19
11609	25	7	20
1161	19	18	1
11610	17	18	19
11611	20	7	18
11612	4	18	19
11613	19	18	1
11614	2	7	18
11615	4	17	6
11616	19	18	1
11617	10	5	1
11618	3	18	19
11619	25	7	14
1162	19	4	18
11620	7	21	18
11621	4	1	26
11622	1	21	4
11623	22	23	18
11624	4	18	19
11625	5	18	19
11626	3	18	19
11627	4	18	19
11628	1	4	3
11629	2	25	18
1163	23	26	18
11630	3	18	19
11631	18	20	14
11632	18	5	19
11633	19	1	17
11634	17	1	18
11635	19	13	18
11636	4	18	19
11637	13	5	18
11638	18	13	19
11639	24	17	18
1164	12	2	18
11640	13	18	19
11641	3	18	5
11642	13	6	18
11643	4	18	19
11644	19	4	18
11645	3	1	18
11646	3	18	19
11647	18	1	7
11648	4	19	17
11649	4	18	19
1165	19	26	18
11650	16	3	6
11651	3	1	6
11653	18	26	19
11654	10	25	18
11655	5	18	19
11656	20	10	18
11657	18	19	1
11658	21	7	14
11659	3	13	18
1166	15	6	18
11660	4	13	19
11661	7	2	18
11662	3	18	15
11663	17	18	19
11664	17	7	19
11665	21	18	19
11666	6	21	20
11667	21	4	18
11668	21	18	12
11669	4	3	18
1167	20	14	12
11671	3	1	18
11672	18	1	11
11673	17	13	18
